;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
9371;13357850;_;---;Cần bán;10m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;5,7m;5;---;13m;5;---; 15 tỷ ; 74 m2; Đường Tô Hiến Thành, Phường Đình Bảng, Thành phố Từ Sơn, Bắc Ninh;;
9372;13286771;_;---;Cần bán;4m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;3,6m;2;---;---;2;---; 2,35 tỷ ; 48 m2; Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội;;
9373;13357806;_;;Cần bán;3m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;3,61m;4;;14m;4;---; 7,3 tỷ ; 52 m2; Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;;
9374;13357649;Tây;---;Cần bán;8m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;4;---;18m;5;---; 8,2 tỷ ; 72 m2; 425 Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh;;
9375;13251115;Đông Bắc;---;Cần bán;4,2m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;6,7m;---;---;15,5m;---;---; 98 triệu / m2  ; 104 m2; 579/58B Đường Phạm Văn Chí, Phường 7, Quận 6, Hồ Chí Minh;;
9376;13106388;Đông Bắc;---;Cần bán;4m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;5m;1;---;8,6m;2;---; 2,59 tỷ ; 43 m2; Hẻm 567  Đường Hồ Búng Xáng, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ;;
9377;13353897;_;;Cần bán;10m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;8m;4;;---;4;---; 59 tỷ ; 139 m2; Đường Hồ Tây, Phường Quảng An, Quận Tây Hồ, Hà Nội;;
9378;13349469;_;;Cần bán;3,8m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;---;5;;---;3;---; 3,9 tỷ ; 39 m2; Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;;
9379;13348875;_;;Cần bán;24m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;5m;3;;15m;4;---; 3,9 tỷ ; 75 m2; Đường Trần Quang Khải, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương;Khu dân cư Đông Hưng Residences(xem chi tiết dự án);
9380;13348658;_;;Cần bán;12m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;3;;20m;4;---; 3,99 tỷ ; 80 m2; Đường Trần Quang Khải, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương;Khu dân cư Đông Hưng Residences(xem chi tiết dự án);
9381;13334150;_;;Cần bán;6m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;21m;3;;11m;3;---; 14 tỷ ; 82 m2; 5/45/18 Đường Nơ Trang Long, Phường 7, Quận Bình Thạnh, Hồ Chí Minh;;
9382;13292538;_;;Cần bán;4m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;5,5m;1;;---;2;---; 9,5 tỷ ; 110 m2; Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội;;
9383;13307141;_;;Cần bán;30m;;Nhà mặt tiền;---;;---;3;;---;4;---; 13,2 tỷ ; 200 m2; Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh;;
9384;13309956;Tây Nam;;Cần bán;20m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;4m;3;---;16m;4;---; 11 tỷ ; 62 m2; 70 Đường Nguyễn Oanh, Phường 7, Quận Gò Vấp, Hồ Chí Minh;;
9385;13266284;_;;Cần bán;6m;;Nhà trong hẻm;---;;4,8m;4;;10,5m;4;---; 6,85 tỷ ; 50 m2; 566 Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh;;
9386;5761815;_;---;Cần bán;---;---;Nhà mặt tiền;---;---;---;---;---;---;---;---; 20 tỷ ; 108 m2; Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh;;
9387;13376766;_;;Cần bán;5m;;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;;4,6m;4;;17m;4;---; 9,9 tỷ ; 70 m2; Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh;;
